tick,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
3,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333507180214
6,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666667014360428
9,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612
12,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333334028720856
15,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204
18,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224
21,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333432674408
24,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666805744171
27,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896
30,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408
33,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666667461395264
36,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645
39,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4333333373069763
42,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46666666865348816
45,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
48,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333611488342
51,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666626930237
54,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000238418579
57,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333333253860474
60,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816
63,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071
66,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333492279053
69,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666507720947
72,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
75,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333134651184
78,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666746139526
81,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999761581421
84,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333373069763
87,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666388511658
90,1.0,0.0,0.0,1.0,7.549790126404332e-08,0.0,-0.800000011920929,1.0,0.0,0.0,1.0,0.0,0.0,1.600000023841858,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
